,colsample_bytree,eval_metric,val,metrics,subsample,eta,num_round,seed,max_depth,gamma,avg_score,score_std
31,0.9,auc,False,auc,1.0,0.001,5000.0,0.0,5.0,0.0,0.106830077096,0.062678534548
32,0.9,auc,False,auc,1.0,0.001,5000.0,0.0,6.0,0.0,0.106830074106,0.0156695910274
33,0.9,auc,False,auc,1.0,0.001,5000.0,999.0,4.0,0.0,0.10683007311,5.68127441203e-08
34,0.9,auc,False,auc,1.0,0.001,5000.0,999.0,5.0,0.0,0.0911604252694,5.78094591433e-08
35,0.9,auc,False,auc,1.0,0.001,5000.0,999.0,6.0,0.0,0.0989952486911,0.00783488123119
36,0.9,auc,False,auc,0.9,0.001,5000.0,0.0,4.0,0.0,0.0911604262661,0.0156695900307
37,0.9,auc,False,auc,0.9,0.001,5000.0,0.0,5.0,0.0,0.0989952506846,0.0235044144492
38,0.9,auc,False,auc,0.9,0.001,5000.0,0.0,6.0,0.0,0.0989952496878,0.00783476660899
39,0.9,auc,False,auc,0.9,0.001,5000.0,999.0,4.0,0.0,0.106830074106,0.0156695910274
40,0.9,auc,False,auc,0.9,0.001,5000.0,999.0,5.0,0.0,0.0833256008509,0.00783488222791
41,0.9,auc,False,auc,0.9,0.001,5000.0,999.0,6.0,0.0,0.15383901663,5.38225997382e-08
42,0.9,auc,False,auc,0.8,0.001,5000.0,0.0,4.0,0.0,0.130334546365,0.0235044164426
43,0.9,auc,False,auc,0.8,0.001,5000.0,0.0,5.0,0.0,0.106830072113,0.0156697046529
44,0.9,auc,False,auc,0.8,0.001,5000.0,0.0,6.0,0.0,0.0833256008509,0.00783488222791
45,0.9,auc,False,auc,0.8,0.001,5000.0,999.0,4.0,0.0,0.130839863066,0.00732945090451
46,0.9,auc,False,auc,0.8,0.001,5000.0,999.0,5.0,0.0,0.0989952516813,0.0391740622894
47,0.9,auc,False,auc,0.8,0.001,5000.0,999.0,6.0,0.0,0.114664899521,0.0391740632861
48,0.9,auc,False,auc,0.7,0.001,5000.0,0.0,4.0,0.0,0.161673840052,0.00783487724433
49,0.9,auc,False,auc,0.7,0.001,5000.0,0.0,5.0,0.0,0.130334545368,0.00783476860242
50,0.9,auc,False,auc,0.7,0.001,5000.0,0.0,6.0,0.0,0.13816936879,5.48193145461e-08
51,0.9,auc,False,auc,0.7,0.001,5000.0,999.0,4.0,0.0,0.13816936879,5.48193146571e-08
52,0.9,auc,False,auc,0.7,0.001,5000.0,999.0,5.0,0.0,0.0989952496878,0.00783476660899
53,0.9,auc,False,auc,0.7,0.001,5000.0,999.0,6.0,0.0,0.13816936879,5.481931456e-08
54,0.9,auc,False,auc,0.6,0.001,5000.0,0.0,4.0,0.0,0.130334542378,0.0391741749181
55,0.9,auc,False,auc,0.6,0.001,5000.0,0.0,5.0,0.0,0.146004191215,0.0235045260812
56,0.9,auc,False,auc,0.6,0.001,5000.0,0.0,6.0,0.0,0.130334548358,0.054843712123
57,0.9,auc,False,auc,0.6,0.001,5000.0,999.0,4.0,0.0,0.138169370783,0.0313392408611
58,0.9,auc,False,auc,0.6,0.001,5000.0,999.0,5.0,0.0,0.1068300761,0.0470088867078
59,0.9,auc,False,auc,0.6,0.001,5000.0,999.0,6.0,0.0,0.138169367793,0.0156697026595
60,0.8,auc,False,auc,1.0,0.001,5000.0,0.0,4.0,0.0,0.0833256008509,0.00783488222791
61,0.8,auc,False,auc,1.0,0.001,5000.0,0.0,5.0,0.0,0.091160423276,0.0313393534898
62,0.8,auc,False,auc,1.0,0.001,5000.0,0.0,6.0,0.0,0.115108455176,0.00739120995784
63,0.8,auc,False,auc,1.0,0.001,5000.0,999.0,4.0,0.0,0.146004193208,0.00783476959913
64,0.8,auc,False,auc,1.0,0.001,5000.0,999.0,5.0,0.0,0.0833255998542,0.0235045300681
65,0.8,auc,False,auc,1.0,0.001,5000.0,999.0,6.0,0.0,0.0676559530108,0.00783488322462
66,0.8,auc,False,auc,0.9,0.001,5000.0,0.0,4.0,0.0,0.0754907784259,0.015669589034
67,0.8,auc,False,auc,0.9,0.001,5000.0,0.0,5.0,0.0,0.114664895535,0.0235045280747
68,0.8,auc,False,auc,0.9,0.001,5000.0,0.0,6.0,0.0,0.114664897528,0.0078347676057
69,0.8,auc,False,auc,0.9,0.001,5000.0,999.0,4.0,0.0,0.0911604262661,0.0156695900307
70,0.8,auc,False,auc,0.9,0.001,5000.0,999.0,5.0,0.0,0.0833256028444,0.0235044134525
71,0.8,auc,False,auc,0.9,0.001,5000.0,999.0,6.0,0.0,0.130334544371,0.00783487923776
