,feature,fscore,norm_fscore
113,L0_S23_F639,35,0.000140118259811
114,L0_S14_F390,35,0.000140118259811
115,L3_S34_F3880,35,0.000140118259811
116,L2_S27_F3192,36,0.000144121638663
117,L1_S25_F2158,38,0.000152128396367
118,L3_S36_F3918,40,0.00016013515407
119,L1_S25_F2239,40,0.00016013515407
120,L3_S50_F4243,41,0.000164138532922
121,L3_S47_F4163,41,0.000164138532922
122,L1_S24_F695,41,0.000164138532922
123,L2_S28_F3285,41,0.000164138532922
124,L1_S24_F1763,41,0.000164138532922
125,L0_S21_F527,44,0.000176148669477
126,L1_S25_F2468,44,0.000176148669477
127,L1_S24_F1174,44,0.000176148669477
128,L1_S24_F1743,44,0.000176148669477
129,L1_S25_F2408,44,0.000176148669477
130,L1_S24_F902,45,0.000180152048329
131,L1_S24_F1667,45,0.000180152048329
132,L1_S25_F2429,46,0.000184155427181
133,L1_S24_F1494,47,0.000188158806032
134,L1_S24_F1184,47,0.000188158806032
135,L1_S24_F1331,47,0.000188158806032
136,L1_S25_F2896,47,0.000188158806032
137,L1_S24_F1176,48,0.000192162184884
138,L1_S25_F3015,48,0.000192162184884
139,L1_S25_F2116,48,0.000192162184884
140,L3_S32_F3851,48,0.000192162184884
141,L1_S24_F1812,50,0.000200168942588
142,L1_S25_F1896,50,0.000200168942588
143,L0_S20_F461,50,0.000200168942588
144,L1_S24_F930,50,0.000200168942588
145,L3_S31_F3834,52,0.000208175700291
146,L1_S24_F1212,53,0.000212179079143
147,L3_S48_F4196,53,0.000212179079143
148,L1_S25_F2797,53,0.000212179079143
149,L3_S41_F4018,54,0.000216182457995
150,L1_S25_F2847,55,0.000220185836846
151,L1_S25_F2886,57,0.00022819259455
152,L1_S25_F2111,58,0.000232195973402
153,L3_S37_F3948,58,0.000232195973402
154,L1_S25_F2086,59,0.000236199352253
155,L1_S24_F679,60,0.000240202731105
156,L2_S27_F3144,61,0.000244206109957
157,L1_S25_F3017,61,0.000244206109957
158,L1_S24_F1406,61,0.000244206109957
159,L1_S25_F2484,61,0.000244206109957
160,L3_S30_F3739,62,0.000248209488809
161,L0_S12_F346,62,0.000248209488809
162,L1_S24_F1240,62,0.000248209488809
163,L2_S28_F3299,64,0.000256216246512
164,L1_S25_F1958,64,0.000256216246512
165,L1_S25_F2249,66,0.000264223004216
166,L3_S47_F4158,66,0.000264223004216
167,L1_S25_F2935,66,0.000264223004216
168,L3_S30_F3564,67,0.000268226383067
169,L1_S24_F1690,68,0.000272229761919
170,L2_S26_F3069,68,0.000272229761919
171,L1_S25_F2837,69,0.000276233140771
