,feature,fscore,norm_fscore
220,L3_S31_D3836,3123,0.0137085517132
221,L3_S29_F3357,3476,0.015258061401
222,L0_S5_F114,3505,0.0153853582308
223,L3_S29_F3430,4289,0.0188267621832
224,L0_S1_D26,4387,0.0192569376772
225,L3_S33_F3859,4514,0.0198144100011
226,L3_S30_F3809,4605,0.0202138586742
227,L3_S30_F3749,4886,0.0214473210602
228,L3_S30_F3534,4926,0.0216229028945
229,L3_S50_F4243,6581,0.0288876012888
230,L2_S26_F3121,6802,0.0298576909233
231,L0_S11_F318,6939,0.0304590587058
232,L3_S33_F3857,8159,0.035814304652
233,L3_S41_F4014,8345,0.0366307601816
234,L0_S10_F249,8614,0.0378115480172
235,start_time,8857,0.0388782076606
